Price,Price,Predicted
Ticker,BTC-USD,
Date,,
2025-03-01,86031.9140625,83894.36092002511
2025-03-02,94248.3515625,85615.64958675765
2025-03-03,86065.671875,93900.16212184922
2025-03-04,87222.1953125,86427.33140099398
2025-03-05,90623.5625,87143.84491346468
2025-03-06,89961.7265625,90372.1232428552
2025-03-07,86742.671875,89586.44715357413
2025-03-08,86154.59375,86803.84996120818
2025-03-09,80601.0390625,85978.81914847033
2025-03-10,78532.0,80364.25507128872
2025-03-11,82862.2109375,78048.13330444999
2025-03-12,83722.359375,82235.7734226358
2025-03-13,81066.703125,83346.97851736653
2025-03-14,83969.1015625,81098.34881084278
2025-03-15,84343.109375,83857.19630182955
2025-03-16,82579.6875,84179.77547167268
2025-03-17,84075.6875,82475.12955114181
2025-03-18,82718.5,83942.62490041947
2025-03-19,86854.2265625,82568.02064093985
2025-03-20,84167.1953125,86508.61270601898
2025-03-21,84043.2421875,84206.37486815893
2025-03-22,83832.484375,83894.46759561829
2025-03-23,86054.375,83715.25849175056
2025-03-24,87498.9140625,85683.45194118099
2025-03-25,87471.703125,87339.00886099525
2025-03-26,86900.8828125,87422.60910605593
2025-03-27,87177.1015625,86884.04368372339
2025-03-28,84353.1484375,87018.31582866616
2025-03-29,82597.5859375,84218.62014788778
2025-03-30,82334.5234375,82346.14772589147
2025-03-31,82548.9140625,81987.35911493938
2025-04-01,85169.171875,82157.10166047848
2025-04-02,82485.7109375,84844.36043745554
2025-04-03,83102.828125,82469.7282984873
2025-04-04,83843.8046875,82942.74702921165
2025-04-05,83504.796875,83665.98057083722
2025-04-06,78214.484375,83272.53833770976
2025-04-07,79235.3359375,78229.29679306387
2025-04-08,76271.953125,78875.78397467159
2025-04-09,82573.953125,75977.94844667046
2025-04-10,79626.140625,81962.312725927
2025-04-11,83404.8359375,79679.38291163446
2025-04-12,85287.109375,83189.63074494869
2025-04-13,83684.9765625,85346.18883149406
